Tuesday,"['thứ ba', 'ngày thứ ba', 'thứ Ba', 'Thứ Ba']"
oil,"['dầu', 'dầu mỏ', '油', 'biến thành dầu', 'bôi dầu', 'dầu hỏa', 'dầu lửa', 'hối lộ', 'lau dầu', 'ngấm dầu', 'sự nịnh nọt', 'sự phỉnh nịnh', 'thấm dầu', 'tra dầu', 'tranh sơn dầu', 'xức dầu', 'đút lót', 'Dầu', 'dầu thô', 'màu dầu']"
sperm,"['tinh dịch', 'tinh trùng', '精液', 'spermaceti', 'spermatozoon', 'sperm-whale']"
Star chart,['cannot found']
life spirit,['cannot found']
streamlining,['cannot found']
elite,"['tinh nhuệ', 'tầng lớp thượng lưu', 'ưu tú']"
testicular,['hòn dái']
spirit,"['tinh thần', 'linh hồn', 'hồn', 'lòng can đảm', 'thần', 'tinh', 'ma', 'thần trí', 'tinh linh', 'bóng vía', 'bộ óc', 'chuyển nhanh', 'cuỗm nhẹ', 'cồn thuốc', 'cổ vũ', 'hào khí', 'khuyến khích', 'khí thế', 'làm phấn khởi', 'nghĩa đúng', 'nghị lực', 'nhiệt tình', 'quỷ thần', 'rượu mạnh', 'sự hăng hái', 'thái độ tinh thần', 'thần linh', 'thần thánh', 'trụ cột', 'tâm hồn', 'tâm linh', 'xu hướng tinh thần', 'điều kiện tinh thần', 'đưa biến', 'ảnh hưởng tinh thần', 'linh', 'khí', '氣', 'hồn ma', 'tâm thần']"
pure,"['tinh khiết', 'nguyên chất', 'trong sáng', 'trong', 'thuần khiết', 'hoàn toàn', 'ròng', 'chỉ là', 'không lai', 'thanh khiết', 'thanh tịnh', 'thuần chủng', 'thuần tuý', 'thuần túy', 'trinh bạch', 'trong sạch', 'trong trắng', 'đơn thuần', 'thanh', 'trong lành', 'khiết', 'thuần', 'tuý', 'trinh', 'bạch', 'không', 'trong trẻo']"
cuteness,"['sự láu lỉnh', 'sự ranh ma', 'Dễ thương']"
quintessential,"['nguyên tố thứ năm', 'phần tinh hoa']"
fine,"['tiền phạt', 'tốt', 'đẹp', 'nguyên chất', 'tinh vi', 'đẹp đẽ', 'hay', 'mịn', 'mỏng', 'chính xác', 'thanh mảnh', 'tinh tế', 'phạt', 'sắc', 'giỏi', 'tinh xảo', 'ổn', 'khéo', 'nhỏ', 'xinh', 'vạ', 'bảnh', 'lớn', 'cheo', 'mành', 'giải', 'bắt phạt', 'bắt phạt ai', 'cao quý', 'cao thượng', 'cuối cùng', 'có ý ca ngợi', 'có ý kiến khen ngợi', 'cầu kỳ', 'hoa mỹ', 'hoàn toàn sung sức', 'in fine tóm lại', 'khả quan', 'loè loẹt', 'làm mịn', 'làm nhỏ bớt', 'làm thanh', 'làm thon', 'mịn // làm sạch', 'phong nhã', 'phạt vạ', 'phạt vạ ai', 'rực rỡ', 'sau hết', 'sướng mắt', 'sắc sảo', 'sặc sỡ', 'thon ra', 'thuần tuý', 'tiền chồng nhà', 'trong ra', 'trong sáng', 'trả tiền chồng nhà', 'trời đẹp', 'trở nên mịn hơn', 'trở nên nhỏ hơn', 'trở nên thanh hơn', 'tế nhị', 'đường bệ', 'dễ chịu', 'mảnh mai', 'thon thả', 'toát, hay, tieàn phaït', 'vừa ý']"
energy,"['năng lượng', 'nghị lực', 'energy', 'khả năng tiềm tàng', 'nhựa sống', 'năng lực tiềm tàng', 'sinh lực', 'sức lực', 'sức sống', 'năng lực']"
ghosts,['cannot found']
dream,"['giấc mơ', 'mơ', 'giấc mộng', 'mơ màng', 'mơ tưởng', 'giắc mơ', 'mộng', 'ảo tưởng', 'sự mơ màng', 'điều mơ ước', 'ước mơ', 'chiêm bao', 'có ý niệm rằng', 'hoài báo', 'mơ mộng', 'mộng mị', 'nghĩ rằng', 'ngủ mê', 'nằm mơ thấy', 'phủ định tưởng tượng', 'sự mơ mộng', 'sự mộng tưởng', 'tưởng rằng', 'vẩn vơ', 'điều mơ tưởng', 'mơ ước', 'ước vọng']"
naughty,"['nghịch ngợm', 'hư', 'nhảm', 'bất nhã', 'hư đốn', 'thô tục', 'tục tĩu']"
quick wit,['cannot found']
astute,"['láu', 'mánh khoé', 'sắc sảo', 'tinh khôn', 'tinh ranh']"
mischievous,"['ranh mãnh', 'tinh quái', 'quái', 'ranh', 'hóm', 'có hại', 'hay làm hại', 'láu lỉnh', 'nghịch ngợm', 'tinh nghịch', 'tác hại']"
cunning,"['xảo quyệt', 'khéo léo', 'láu cá', 'ranh vặt', 'quyệt', 'tâm cơ', 'cáo già', 'duyên dáng', 'gian giảo', 'khéo tay', 'khôn vặt', 'quyến rũ', 'ranh khôn', 'sự gian giảo', 'sự khéo léo', 'sự khéo tay', 'sự khôn vặt', 'sự láu cá', 'sự ranh vặt', 'sự xảo quyệt', 'sự xảo trá', 'xinh xắn', 'xảo trá', 'đa mưu', 'đáng yêu', 'mẹo']"
mist,"['sương mù', 'màn', 'che mờ', 'màn che', 'mù sương']"
delicate,"['tinh vi', 'ngon', 'mỏng manh', 'thanh nhã', 'tinh tế', 'tế nhị', 'nhạy', 'khéo', 'nhẹ', 'khó', 'nhạt', 'thính', 'cảnh vẻ', 'dễ vỡ', 'khoái trí', 'khéo léo', 'khó xử', 'lịch thiệp', 'mảnh dẻ', 'mảnh khảnh', 'mềm mại', 'mịn màng', 'nhã nhặn', 'nhạy cảm', 'nhẹ nhàng', 'nâng niu chiều chuộng', 'phơn phớt', 'sắc sảo', 'thanh cảnh', 'thanh tú', 'thánh thú', 'tinh xảo', 'vui sướng', 'vui thích', 'yểu điệu', 'ý tứ', 'ẻo lả mềm yếu', 'non', 'nhược']"
crystal,"['pha lê', 'tinh thể', 'bán dẫn', 'bằng pha lê', 'mặt kính đồng hồ', 'như pha lê', 'thuộc kết tinh', 'thuộc thủy tinh', 'thuỷ tinh', 'thủy tinh', 'đồ pha lê', 'tinh', 'Tinh thể']"
proficient,"['thành thạo', 'thạo', 'chuyên gia', 'giỏi giang', 'người thành thạo', 'người tài giỏi', 'thông thạo', 'tài giỏi']"
morale,"['chí khí', 'nhuệ khí', 'tinh thần', 'tính thần']"
crystals,['cannot found']
adept,"['giỏi', 'thạo', 'lão luyện', 'người giỏi', 'người lão luyện', 'người thông thạo', 'người tinh thông', 'tinh thông']"
sperm,"['tinh dịch', 'tinh trùng', '精液', 'spermaceti', 'spermatozoon', 'sperm-whale']"
star,"['sao', 'ngôi sao', 'vì sao', 'dấu sao', 'đóng vai chính', 'dán sao', 'hình sao', 'mở mào', 'nghệ sĩ nổi tiếng', 'nhân vật nổi tiếng', 'sao chiếu mệnh', 'số mệnh', 'số phận', 'tinh cầu', 'tinh tú', 'trội hẳn', 'tướng tinh', 'vật hình sao', 'xuất sắc', 'đánh dấu sao', 'đốm trắng ở trán ngựa', 'Sao']"
Essence,"['bản chất', 'thực chất', 'tinh chất', 'cốt lõi', 'dầu thơm', 'nước cốt', 'tinh hoa', 'tinh túy', 'cốt', 'bản thể', 'cốt yếu', 'nước hoa', 'thực tế', 'tính chất', 'vật tồn tại']"
pure,"['tinh khiết', 'nguyên chất', 'trong sáng', 'trong', 'thuần khiết', 'hoàn toàn', 'ròng', 'chỉ là', 'không lai', 'thanh khiết', 'thanh tịnh', 'thuần chủng', 'thuần tuý', 'thuần túy', 'trinh bạch', 'trong sạch', 'trong trắng', 'đơn thuần', 'thanh', 'trong lành', 'khiết', 'thuần', 'tuý', 'trinh', 'bạch', 'không', 'trong trẻo']"
astute,"['láu', 'mánh khoé', 'sắc sảo', 'tinh khôn', 'tinh ranh']"
nebula,"['tinh vân', 'chứng mắt kéo mây', 'Tinh vân']"
delicate,"['tinh vi', 'ngon', 'mỏng manh', 'thanh nhã', 'tinh tế', 'tế nhị', 'nhạy', 'khéo', 'nhẹ', 'khó', 'nhạt', 'thính', 'cảnh vẻ', 'dễ vỡ', 'khoái trí', 'khéo léo', 'khó xử', 'lịch thiệp', 'mảnh dẻ', 'mảnh khảnh', 'mềm mại', 'mịn màng', 'nhã nhặn', 'nhạy cảm', 'nhẹ nhàng', 'nâng niu chiều chuộng', 'phơn phớt', 'sắc sảo', 'thanh cảnh', 'thanh tú', 'thánh thú', 'tinh xảo', 'vui sướng', 'vui thích', 'yểu điệu', 'ý tứ', 'ẻo lả mềm yếu', 'non', 'nhược']"
pure,"['tinh khiết', 'nguyên chất', 'trong sáng', 'trong', 'thuần khiết', 'hoàn toàn', 'ròng', 'chỉ là', 'không lai', 'thanh khiết', 'thanh tịnh', 'thuần chủng', 'thuần tuý', 'thuần túy', 'trinh bạch', 'trong sạch', 'trong trắng', 'đơn thuần', 'thanh', 'trong lành', 'khiết', 'thuần', 'tuý', 'trinh', 'bạch', 'không', 'trong trẻo']"
delicate,"['tinh vi', 'ngon', 'mỏng manh', 'thanh nhã', 'tinh tế', 'tế nhị', 'nhạy', 'khéo', 'nhẹ', 'khó', 'nhạt', 'thính', 'cảnh vẻ', 'dễ vỡ', 'khoái trí', 'khéo léo', 'khó xử', 'lịch thiệp', 'mảnh dẻ', 'mảnh khảnh', 'mềm mại', 'mịn màng', 'nhã nhặn', 'nhạy cảm', 'nhẹ nhàng', 'nâng niu chiều chuộng', 'phơn phớt', 'sắc sảo', 'thanh cảnh', 'thanh tú', 'thánh thú', 'tinh xảo', 'vui sướng', 'vui thích', 'yểu điệu', 'ý tứ', 'ẻo lả mềm yếu', 'non', 'nhược']"
observant,"['tinh mắt', 'hay quan sát', 'thầy tu dòng Fran-xit', 'tinh ý', 'tuân theo']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
Intelligence,"['trí thông minh', 'cơ quan tình báo', 'khả năng hiểu biết', 'sự hiểu biết', 'sự làm tình báo', 'tin tức', 'trí khôn', 'trí tuệ', 'trí óc', 'tình báo', 'trí', 'cục tình báo', 'ngành tình báo', 'sự thông minh', 'tin tức tình báo', 'tâm', 'lý trí']"
love song,['cannot found']
affection,"['tình cảm', 'tình yêu', 'affection towards khuynh hướng', 'bệnh hoạn', 'bệnh tật', 'cảm xúc', 'lòng yêu thương', 'lối sống', 'sự yêu mến', 'thiện ý', 'thiện ý về', 'thuộc tính', 'trạng thái cơ thể', 'tình yêu thương', 'tính chất', 'yêu mến']"
situation,"['vị trí', 'tình hình', 'tình thế', 'hoàn cảnh', 'địa điểm', 'bối cảnh', 'chuyện', 'chỗ làm', 'trạng thái', 'tình huống thực tế', 'việc làm', 'địa thế', 'bước', 'binh tình', 'cảnh tình', 'cục diện', 'sự thế', 'tình cảnh', 'tình trạng', 'điểm nút', 'huống']"
accidental,"['ngẫu nhiên', 'tình cờ', 'phụ', 'bất ngờ', 'cái không chủ yếu', 'cái phụ', 'không chủ yếu', 'không ngờ', 'lỡ', 'phụ thuộc', 'rũi ro', 'vô tình', 'tai nạn']"
sex,"['giới tính', 'giao cấu', 'giống', 'sự giao cấu', 'tính', 'fuck', 'sự giao hợp', 'giới phụ nữ', 'giới đàn ông', 'làm tình', 'quan hệ tình dục', 'thuộc giới tính', 'tình dục', 'vấn đề dục tính', 'vấn đề sinh lý', 'giới', 'Sex', 'phái']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
love enemy,['cannot found']
situation,"['vị trí', 'tình hình', 'tình thế', 'hoàn cảnh', 'địa điểm', 'bối cảnh', 'chuyện', 'chỗ làm', 'trạng thái', 'tình huống thực tế', 'việc làm', 'địa thế', 'bước', 'binh tình', 'cảnh tình', 'cục diện', 'sự thế', 'tình cảnh', 'tình trạng', 'điểm nút', 'huống']"
situation,"['vị trí', 'tình hình', 'tình thế', 'hoàn cảnh', 'địa điểm', 'bối cảnh', 'chuyện', 'chỗ làm', 'trạng thái', 'tình huống thực tế', 'việc làm', 'địa thế', 'bước', 'binh tình', 'cảnh tình', 'cục diện', 'sự thế', 'tình cảnh', 'tình trạng', 'điểm nút', 'huống']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
love affair,['cannot found']
suspect,"['nghi', 'ngờ', 'nghi ngờ', 'hoài nghi', 'ngờ vực', 'kẻ tình nghi', 'người bị tình nghi', 'đáng ngờ', 'bị tình nghi', 'hiềm nghi', 'khả nghi', 'người khả nghi', 'không tin']"
gratitude,"['lòng biết ơn', 'sự nhớ ơn']"
volunteer,"['tình nguyện', 'quân tình nguyện', 'tình nguyện viên', 'xung phong làm', 'chí nguyện quân', 'mọc tự nhiên', 'người tình nguyện', 'người xung phong', 'tình nguyện tòng quân', 'tự nguyện xung phong', 'tự động đưa ra', 'xung phong tòng quân']"
lover,"['người yêu', 'người tình', '𠊛𢞅', 'bạn tình', 'tình nhân', 'bồ', 'người ham chuộng', 'người ham thích', 'người hâm mộ', 'nhân ngãi']"
side love,['cannot found']
love army,['cannot found']
deep love,['cannot found']
true love,['cannot found']
circumstance,"['trường hợp', 'tình huống', 'chi tiết', 'hoàn cảnh', 'nghi lễ', 'nghi thức', 'sự kiện', 'sự việc']"
love letter,['cannot found']
real love,['cannot found']
details,"['chi tiết', 'các chi tiết']"
status,"['thân thế', 'thân phận', 'tình trạng', 'địa vị', 'phận', 'tư cách', 'cấp bậc', 'trạng thái']"
love situation,['cannot found']
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
conscious,"['biết rõ', 'tỉnh táo', 'có ý thức', 'biết được', 'tỉnh', 'thấy rõ']"
province,"['tỉnh', 'ngành', 'lĩnh vực', 'phạm vi', 'giáo khu', 'tỉnh thành', 'địa hạt', 'địa phận', 'tính', '省']"
wake up,['cannot found']
provincial party committee,['cannot found']
Provincial Youth Union,['cannot found']
sugar province,['cannot found']
province fell,['cannot found']
wake up,['cannot found']
County,"['quận', 'quận hạt', 'hạt', 'tỉnh', 'huyện', 'xứ']"
disenchant,"['giải mê', 'làm hết ảo tưởng', 'làm tan ảo mộng']"
Awake,"['thức dậy', 'thức', 'dậy lên', 'dậy', 'gợi', 'tỉnh ngủ', 'tỉnh táo', 'gây lên', 'đánh thức', 'khêu gợi', 'làm thức dậy', 'làm thức tỉnh', 'làm tỉnh ngộ', 'nhận thức ra', 'thức tỉnh', 'tỉnh ngộ', 'cách phát âm', 'thức giấc']"
conscious,"['biết rõ', 'tỉnh táo', 'có ý thức', 'biết được', 'tỉnh', 'thấy rõ']"
province,"['tỉnh', 'ngành', 'lĩnh vực', 'phạm vi', 'giáo khu', 'tỉnh thành', 'địa hạt', 'địa phận', 'tính', '省']"
Bashaw,"['Pasa', 'tổng trấn']"
Provincial Party Committee,['cannot found']
Provincial Commissioner,['cannot found']
static,"['tĩnh', 'dừng', 'tĩnh tại', 'bất động', 'tĩnh học', 'ổn định']"
static,"['tĩnh', 'dừng', 'tĩnh tại', 'bất động', 'tĩnh học', 'ổn định']"
refreshment,"['các món ăn uống', 'sự nghỉ ngơi', 'sự tĩnh dưỡng']"
electrostatic,['tĩnh điện']
electrostatics,"['tính điện học', 'tĩnh điện học', 'Tĩnh điện học']"
electrostatic meter,['cannot found']
statics,"['tĩnh học', 'Tĩnh học']"
Static air layer,['cannot found']
vein,"['tĩnh mạch', 'vân', '靜脈', 'mạch', 'gân', 'lối', 'mạch máu', 'điệu', 'nguồn cảm hứng', 'sơn giả vân', 'tâm trạng', 'vẽ giả vân', 'xu hướng', 'đặc tính', 'Mạch', 'Tĩnh mạch', 'huyết quản', 'tónh maïch', 'tónh maïch (gaân maùu)']"
quiet,"['yên tĩnh', 'yên lặng', '安靜', 'lặng', 'yên', 'im', 'an tịnh', 'im lặng', 'lẳng lặng', 'thanh thản', 'âm thầm', 'êm ả', 'nhã', 'stick', 'bình lặng', 'bình thản', 'im lìm', 'im ả', 'không hình thức', 'kín đáo', 'lanh lẹ', 'làm dịu', 'làm nín', 'làm êm', 'lắng xuống', 'lặng lẽ', 'phẳng lặng', 'sự thanh bình', 'sự thanh thản', 'sự yên lặng', 'sự yên tĩnh', 'sự yên ổn', 'sự êm ả', 'thanh bình', 'thái bình', 'thầm kín', 'trầm lặng', 'trở lại yên tĩnh', 'tịch liêu', 'vỗ về', 'yên ổn', 'êm ắng', 'đơn giản', 'an', 'yên ả', 'yên ắng']"
static,"['tĩnh', 'dừng', 'tĩnh tại', 'bất động', 'tĩnh học', 'ổn định']"
calm down,['cannot found']
still earth,['cannot found']
sitting still,['cannot found']
calm mind,['cannot found']
stillness,"['sự tĩnh mịch', 'sự yên lặng', 'sự yên tĩnh']"
still life,['cannot found']
count,"['đếm', 'tính', 'bá tước', 'coi là', 'có giá trị', 'kiểm', 'chom là', 'coi như', 'gồm cả', 'kể cả', 'kể đến', 'sự hoãn họp', 'sự tính', 'sự đếm', 'tính toán', 'tính đến', 'tổng số', 'được chú ý đến', 'được kể đến', 'được quan tâm đến', 'được tính đến', 'số', 'cộng', 'toan', 'đêm', '算', 'Bá tước']"
character,"['nhân vật', 'tính cách', 'đặc điểm', 'nghị lực', 'người lập dị', 'tự', 'chữ', 'tính chất', 'tiếng', 'bản sắc', 'chí khí', 'cá tính', 'danh tiếng', 'dấu chữ', 'giấy chứng nhận', 'mẫu tự', 'nét chữ', 'nét đặc sắc', 'tên tuổi', 'tính nết', 'tổ hợp điện mã', 'đặc tính', 'tính', 'kí tự', 'ký tự', 'thanh danh']"
nature,"['tự nhiên', 'thiên nhiên', 'bản chất', 'tính', 'bản tính', 'tạo hóa', 'ngoài trời', 'bản thể', 'thực chất', 'tính cách', 'đặc tính', 'loại', 'thứ', 'also rarely khoa-học', 'khoa học', 'nguyên thủy', 'tính chất', 'chất', 'nhựa', 'bẩm chất', 'chức năng tự nhiên', 'căn tính', 'nhu cầu tự nhiên', 'sức sống', 'trạng thái nguyên thuỷ', 'trạng thái tự nhiên', 'tính nết', 'tư chất', 'tạo hoá']"
identity,"['cá tính', 'tính đồng nhất', 'đặc tính', 'căn cước', 'đồng nhất thức', 'chứng minh thư', 'hằng đẳng thức', 'nhân dạng', 'nét để nhận biết', 'nét để nhận diện', 'nét để nhận dạng', 'sự giống hệt', 'Nhân thân', 'cá nhân', 'danh tính', 'tính ñoàng nhaát, söï gioáng heät, danh taùnh, caên cöôùc']"
calculus,"['giải tích', 'phép tính', 'phép vi tích phân', 'tính toán', 'Vôi răng', 'vi tích phân', 'vôi răng']"
happiness,"['hạnh phúc', 'phúc', '幸福', 'an lạc', 'niềm hạnh phúc', 'câu nói khéo chọn', 'sự may mắn', 'sự sung sướng', 'thành ngữ khéo chọn', 'từ dùng rất đắt', 'Hạnh phúc']"
temperament,"['khí chất', 'tính khí', 'tính', 'tính chất']"
live,"['sống', 'ở', 'chưa cháy', 'chưa nổ', 'cư', 'có sự sống', 'sống nhờ vào', 'sống trong hoàn cảnh', 'thực', 'vẫn còn sống', 'đang cháy', 'ngụ', 'hoạt động', 'mạnh mẽ', 'nóng hổi', 'sinh sống', 'thoát nạn', 'thực hiện được', 'trú tại', 'trực tiếp', 'tại chỗ', 'đang cháy đỏ', 'đang quay', 'đầy khí lực', 'cảm thấy', 'sống ở']"
feature,"['tiết mục chủ chốt', 'nét', 'có', 'chiếu', 'bài đặc biệt', 'nét mặt', 'nét đặc biệt', 'tưởng tượng', 'điểm đặc trưng', 'đặc trưng', 'đặc điểm', 'đề cao', 'tính năng', 'Đặc trưng (nhận dạng mẫu)']"
temperament,"['khí chất', 'tính khí', 'tính', 'tính chất']"
adjective,"['tính từ', 'hình dung từ', 'có tính chất tính từ', 'không đứng một mình', 'lệ thuộc', 'phụ vào', 'thêm vào', 'Tính từ']"
mental arithmetic,['cannot found']
sketchy,"['sơ sài', 'phác', 'sơ lược', 'đại cương', 'không đầy đủ', 'thô sơ']"
temperament,"['khí chất', 'tính khí', 'tính', 'tính chất']"
calculation,"['sự tính toán', 'phép tính', 'sự tính', 'tính', 'dự kiến', 'kết quả tính toán', 'sự cân nhắc', 'sự trù liệu', 'sự trù tính', 'sự đắn đo', 'tính toán']"
calculate,"['tính toán', 'tính', 'suy tính', 'liệu', 'cho rằng', 'cậy vào', 'dự tính', 'dựa vào', 'làm cho thích hợp', 'sắp xếp', 'sắp đặt', 'tin rằng', 'tin vào', 'trông nom vào', 'tính trước', 'tưởng rằng', 'toan']"
adjective,"['tính từ', 'hình dung từ', 'có tính chất tính từ', 'không đứng một mình', 'lệ thuộc', 'phụ vào', 'thêm vào', 'Tính từ']"
pure,"['tinh khiết', 'nguyên chất', 'trong sáng', 'trong', 'thuần khiết', 'hoàn toàn', 'ròng', 'chỉ là', 'không lai', 'thanh khiết', 'thanh tịnh', 'thuần chủng', 'thuần tuý', 'thuần túy', 'trinh bạch', 'trong sạch', 'trong trắng', 'đơn thuần', 'thanh', 'trong lành', 'khiết', 'thuần', 'tuý', 'trinh', 'bạch', 'không', 'trong trẻo']"
pure truth,['cannot found']
pure land,['cannot found']
pure precepts,['cannot found']
pure,"['tinh khiết', 'nguyên chất', 'trong sáng', 'trong', 'thuần khiết', 'hoàn toàn', 'ròng', 'chỉ là', 'không lai', 'thanh khiết', 'thanh tịnh', 'thuần chủng', 'thuần tuý', 'thuần túy', 'trinh bạch', 'trong sạch', 'trong trắng', 'đơn thuần', 'thanh', 'trong lành', 'khiết', 'thuần', 'tuý', 'trinh', 'bạch', 'không', 'trong trẻo']"
title,"['tước', 'tựa', 'danh nghĩa', 'tên', 'tiêu đề', 'tít', 'tước danh', 'tước hiệu', 'tước vị', 'tựa đề', 'đầu đề', 'đề mục', 'tuổi', 'chuẩn độ', 'chứng thư', 'danh hiệu', 'nhan đề', 'quyền sở hữu', 'tư cách', 'văn tự', 'danh', 'Chức danh', 'chức danh']"
close eyes,['cannot found']
blind title,['cannot found']
turn off blind,['cannot found']
green title,['cannot found']
shit,"['cứt', 'đi tiêu', 'đi ỉa', 'bĩnh', 'iả', 'đi ị', 'rác rưởi', 'suộc khuộng đi ỉa', 'đại tiện', 'sự đi ỉa']"
jubilant,"['vui sướng', 'hân hoan', 'mừng rỡ', 'tưng bừng', 'tưng bừng hớn hở']"
empty,"['rỗng', 'trống', 'tẩy sạch', 'tẩy trống', 'trống không', 'không', 'trống rỗng', 'đổ', 'suông', 'bỏ trống', 'dốc', 'hoàn toàn không có', 'trút ra', 'trống trơn', 'để trống', 'trút', 'hão', 'chuyên', 'chảy vào', 'hư không', 'không có người ở', 'không có nội dung', 'không có đồ đạc', 'làm cạn', 'làm rỗng', 'rỗng tuếch', 'trống trải', 'uống cạn', 'vô nghĩa', 'đói bụng', 'đễnh đoãng', 'trắng', 'khoảng', 'bỏ không', 'hão huyền']"
Tiu,['Tiu']
damn,"['nguyền rủa', 'chê', 'chửi rủa', 'cha', 'chút', 'tí', 'ít', 'biếm', 'chê trách', 'chẳng đáng một trinh', 'chẳng đáng nửa đồng', 'chỉ trích', 'kết tội', 'la ó', 'làm hại', 'làm thất bại', 'làn nguy hại', 'lời chửi rủa', 'lời nguyền rủa', 'đoạ đày', 'đày địa ngục', 'tồi tệ']"
tit,"['chim sẻ ngô', 'vú', 'teat', 'ăn miếng trả miếng', 'cô gái', 'cậu bé', 'ngựa con', 'núm vú', 'trả miếng ai', 'Họ Bạc má', 'họ bạc má']"
gurgles,['cannot found']
